event_id,palika_id,palika_name_ne,palika_name_en,district_ne,district_en,province_ne,province_en
karnali-eq-2083-drill,karnali-salyan-bagchaur-municipality,बागचौर नगरपालिका,Bagchaur Municipality,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-bangad-kupinde-municipality,बनगाड कुपिण्डे नगरपालिका,Bangad Kupinde Municipality,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-sharada-municipality,शारदा नगरपालिका,Sharada Municipality,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-chhatreshwari-gaunpalika,छत्रेश्वरी गाउँपालिका,Chhatreshwari Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-darma-gaunpalika,दार्मा गाउँपालिका,Darma Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-kalimati-gaunpalika,कालीमाटी गाउँपालिका,Kalimati Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-kapurkot-gaunpalika,कपुरकोट गाउँपालिका,Kapurkot Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-kumakh-gaunpalika,कुमाख गाउँपालिका,Kumakh Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-siddha-kumakh-gaunpalika,सिद्ध कुमाख गाउँपालिका,Siddha Kumakh Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-salyan-tribeni-gaunpalika,त्रिवेणी गाउँपालिका,Tribeni Gaunpalika,सल्यान,Salyan,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-bheri-municipality,भेरी नगरपालिका,Bheri Municipality,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-chhedagad-municipality,छेडागाड नगरपालिका,Chhedagad Municipality,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-nalgad-municipality,नलगाड नगरपालिका,Nalgad Municipality,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-barekot-gaunpalika,बारेकोट गाउँपालिका,Barekot Gaunpalika,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-junichande-gaunpalika,जुनीचाँदे गाउँपालिका,Junichande Gaunpalika,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-kushe-gaunpalika,कुसे गाउँपालिका,Kushe Gaunpalika,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-jajarkot-shivalaya-gaunpalika,शिवालय गाउँपालिका,Shivalaya Gaunpalika,जाजरकोट,Jajarkot,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-aathabis-municipality,आठबीस नगरपालिका,Aathabis Municipality,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-chamunda-bindrasaini-municipality,चामुण्डा विन्द्रासैनी नगरपालिका,Chamunda Bindrasaini Municipality,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-dullu-municipality,दुल्लु नगरपालिका,Dullu Municipality,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-narayan-municipality,नारायण नगरपालिका,Narayan Municipality,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-bhagawatimai-gaunpalika,भगवतीमाई गाउँपालिका,Bhagawatimai Gaunpalika,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-bhairabi-gaunpalika,भैरवी गाउँपालिका,Bhairabi Gaunpalika,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-dungeshwar-gaunpalika,डुंगेश्वर गाउँपालिका,Dungeshwar Gaunpalika,दैलेख,Dailekh,कर्णाली,Karnali
karnali-eq-2083-drill,karnali-dailekh-gurans-gaunpalika,गुराँस गाउँपालिका,Gurans Gaunpalika,दैलेख,Dailekh,कर्णाली,Karnali
